# Base Pos	Mean Quality Score
===========	==================
0		30.16
1		30.78
2		33.78
3		34.59
4		35.10
5		37.95
6		38.01
7		38.23
8		38.44
9		38.32
10		38.42
11		38.45
12		38.31
13		38.40
14		38.25
15		38.01
16		38.12
17		38.26
18		38.07
19		38.17
20		38.02
21		38.03
22		38.20
23		38.22
24		38.23
25		38.21
26		38.18
27		38.23
28		38.20
29		38.15
30		38.03
31		37.66
32		37.57
33		37.36
34		37.23
35		37.14
36		37.10
37		37.11
38		37.08
39		37.46
40		37.68
41		37.85
42		37.84
43		38.00
44		38.02
45		38.00
46		38.04
47		38.00
48		37.99
49		37.94
50		38.02
51		38.05
52		38.04
53		37.84
54		37.87
55		37.95
56		37.96
57		37.88
58		37.85
59		37.78
60		37.76
61		37.80
62		37.81
63		37.74
64		37.77
65		37.70
66		37.76
67		37.66
68		37.61
69		37.66
70		37.65
71		37.59
72		37.53
73		37.53
74		37.53
75		37.41
76		36.48
77		36.88
78		37.31
79		37.42
80		37.54
81		37.55
82		37.57
83		37.48
84		37.39
85		37.40
86		37.33
87		37.34
88		37.30
89		37.23
90		37.19
91		37.10
92		37.07
93		37.03
94		36.85
95		36.87
96		36.87
97		36.80
98		36.54
99		36.62
100		34.66
